Method,Configuration,Learning Rate 0.001,Learning Rate 0.01,Learning Rate 0.1,Learning Rate 0.5,Learning Rate 1
Gradient Descent,ols,0.37498076898322724,0.02459745775388165,0.01143190773159902,0.00977254891280151,inf
Gradient Descent,ridge,0.6262885606085532,0.38605950050340243,0.37619754585447934,0.37619754585637694,inf
Gradient Descent,ols_auto,1.1223383195542882,0.014250600361983244,0.010518483572973083,0.00973930939081281,inf
Gradient Descent,ridge_auto,1.2029159373038545,0.37824532308274755,0.37619754585401993,0.37619754585637694,inf
Momentum,ols,0.015001490393227759,0.009800585038935997,0.0097355777062322,0.009735576723414208,0.009735576723414205
Momentum,ridge,0.38169788580004066,0.37619754585637827,0.3761975458563771,0.3761975458563769,0.3761975458563764
Momentum,ols_auto,0.02247759433673433,0.010448360146375648,0.00973558100414642,0.009735576723414215,0.009735576723414208
Momentum,ridge_auto,0.3792410475468588,0.37619754585637755,0.3761975458563771,0.3761975458563771,0.3761975458563775
Adagrad,ols,19.479430470417423,46.20511892595748,0.03469393182335731,0.011666598099676143,0.010541334849715587
Adagrad,ridge,19.129405520992727,19.75699318252436,0.42698728253079243,0.37619755449259995,0.3761975458570492
Adagrad,ols_auto,13.241553718557984,22.62277765885086,0.08081066051212181,0.012307816198940185,0.010001371965582229
Adagrad,ridge_auto,38.551710251599395,20.78282805443004,0.7182692546701037,0.37619758350288307,0.3761975458563762
RMSprop,ols,15.086936634723079,0.009823327690501206,0.018468776833597236,0.22806512700412385,0.8830538014246474
RMSprop,ridge,18.119680491768335,0.3688109970459359,0.4596726768725263,0.22081716684054972,1.9969356344969562
RMSprop,ols_auto,4.06559843085226,0.00982384999587448,0.018468753213692405,0.22806513428502104,0.8830537952793749
RMSprop,ridge_auto,12.104823050600787,0.3688109970459362,0.31018876730880784,0.9682370258085817,1.9969356344969562
Adam,ols,9.31736128434522,0.13631895219413642,0.010008681805500384,0.0097355767237745,0.009735576723414224
Adam,ridge,6.875833234253419,0.35541799812909736,0.3761975458563771,0.3761975458563771,0.3761975458563771
Adam,ols_auto,13.821017803208148,0.08823500201362366,0.009978349751854939,0.009735576737923005,0.009735576723426618
Adam,ridge_auto,5.511709529493601,0.4978220987107757,0.37619754585637666,0.3761975458563771,0.37619754585637677
